iter	RMSE
0	19.66319506
1	19.40569758
2	19.16196689
3	18.87504876
4	18.65054621
5	18.44149881
6	18.21632032
7	17.95419174
8	17.6810709
9	17.41544979
10	17.19802122
11	16.95693878
12	16.73344113
13	16.47275109
14	16.23223086
15	16.0558164
16	15.82373396
17	15.59141151
18	15.36825449
19	15.17790185
20	15.01113843
21	14.80485641
22	14.61781824
23	14.45965945
24	14.20647486
25	14.04509308
26	13.88415766
27	13.66863477
28	13.50638465
29	13.36264768
30	13.16419496
31	13.00319268
32	12.86767338
33	12.72175152
34	12.54952837
35	12.4360077
36	12.26946127
37	12.0835126
38	11.94798028
39	11.78933303
40	11.6359677
41	11.46573866
42	11.30812266
43	11.1625096
44	11.04696224
45	10.89515475
46	10.74702692
47	10.61143095
48	10.49398188
49	10.34232308
50	10.20564474
51	10.06514035
52	9.933615787
53	9.796902919
54	9.677023142
55	9.54691309
56	9.4206268
57	9.304526086
58	9.212124834
59	9.106024619
60	8.983226267
61	8.86133733
62	8.751278696
63	8.630591365
64	8.522117471
65	8.41422053
66	8.302402694
67	8.179495321
68	8.090258147
69	7.977033327
70	7.889161023
71	7.777670641
72	7.661270155
73	7.557320474
74	7.469554035
75	7.36232276
76	7.273941347
77	7.192209545
78	7.112060863
79	7.014727738
80	6.93725946
81	6.849905038
82	6.788990066
83	6.703883246
84	6.612943779
85	6.528674864
86	6.462051617
87	6.374077921
88	6.319959367
89	6.237271741
90	6.183241268
91	6.115791904
92	6.074788236
93	6.013911338
94	5.947392227
95	5.856153426
96	5.800105537
97	5.745097228
98	5.685101212
99	5.618628681
100	5.542797614
101	5.471871073
102	5.391947097
103	5.322153582
104	5.248065609
105	5.178102682
106	5.121936432
107	5.081446393
108	5.021601073
109	4.961945477
110	4.90372441
111	4.848180059
112	4.791220528
113	4.738922239
114	4.686150172
115	4.631212707
116	4.596845245
117	4.550398781
118	4.500579065
119	4.439319939
120	4.393335676
121	4.349094873
122	4.298418428
123	4.252539428
124	4.213099993
