iter	Passed	Remaining
0	48	56387
1	52	30202
2	55	21128
3	57	16440
4	59	13745
5	62	11994
6	65	10716
7	68	9765
8	71	9059
9	73	8456
10	76	7958
11	78	7510
12	81	7157
13	84	6880
14	86	6598
15	90	6408
16	92	6177
17	94	5974
18	97	5837
19	99	5657
20	101	5491
21	103	5333
22	105	5203
23	107	5062
24	109	4934
25	110	4814
26	112	4714
27	114	4611
28	116	4513
29	117	4420
30	119	4348
31	122	4290
32	124	4228
33	126	4159
34	128	4105
35	130	4041
36	131	3977
37	133	3917
38	134	3861
39	136	3815
40	138	3764
41	140	3714
42	141	3669
43	143	3631
44	145	3585
45	149	3600
46	152	3584
47	153	3549
48	155	3513
49	157	3481
50	159	3450
51	161	3421
52	163	3391
53	164	3362
54	166	3334
55	168	3307
56	170	3281
57	172	3257
58	174	3232
59	176	3215
60	178	3193
61	179	3172
62	181	3150
63	183	3129
64	185	3108
65	187	3089
66	189	3069
67	190	3049
68	192	3031
69	194	3013
70	196	2996
71	198	2978
72	199	2961
73	201	2946
74	203	2931
75	205	2915
76	207	2900
77	208	2885
78	210	2873
79	212	2859
80	215	2863
81	218	2860
82	220	2846
83	222	2834
84	223	2819
85	225	2802
86	227	2794
87	229	2778
88	230	2762
89	232	2748
90	233	2733
91	235	2721
92	237	2707
93	238	2694
94	240	2681
95	243	2682
96	245	2681
97	246	2662
98	248	2649
99	250	2640
100	252	2633
101	253	2621
102	255	2612
103	257	2602
104	259	2594
105	261	2586
106	263	2577
107	265	2569
108	266	2561
109	268	2554
110	270	2547
111	272	2538
112	274	2527
113	275	2517
114	277	2512
115	279	2502
116	280	2491
117	282	2482
118	283	2472
119	286	2467
120	287	2458
121	289	2449
122	290	2441
123	293	2438
124	294	2429
125	296	2420
126	297	2411
127	299	2402
128	301	2397
129	303	2392
130	305	2386
131	307	2380
132	308	2372
133	310	2365
134	312	2357
135	313	2350
136	315	2342
137	316	2334
138	318	2331
139	320	2323
140	322	2315
141	323	2308
142	325	2300
143	327	2298
144	328	2291
145	330	2283
146	332	2276
147	334	2275
148	335	2267
149	338	2268
150	339	2260
151	341	2254
152	343	2251
153	345	2246
154	347	2242
155	350	2241
156	351	2234
157	353	2228
158	354	2221
159	356	2215
160	358	2211
161	360	2207
162	362	2207
163	364	2204
164	366	2201
165	368	2197
166	370	2192
167	372	2188
168	375	2188
169	376	2184
170	378	2180
171	380	2175
172	382	2170
173	384	2166
174	385	2159
175	387	2154
176	388	2148
177	390	2142
178	392	2140
179	394	2135
180	395	2130
181	397	2124
182	399	2123
183	401	2117
184	402	2112
185	404	2106
186	405	2101
187	408	2099
188	409	2094
189	411	2089
190	413	2084
191	414	2079
192	416	2077
193	418	2072
194	419	2066
195	421	2061
196	422	2056
197	425	2054
198	426	2049
199	428	2044
