iter	Passed	Remaining
0	56	30696
1	64	17357
2	71	12886
3	78	10638
4	86	9287
5	93	8385
6	100	7740
7	108	7253
8	115	6873
9	122	6565
10	130	6309
11	137	6101
12	144	5921
13	152	5764
14	159	5630
15	166	5510
16	174	5404
17	181	5308
18	188	5221
19	196	5137
20	203	5067
21	210	5001
22	218	4941
23	225	4885
24	233	4837
25	240	4789
26	247	4744
27	255	4701
28	262	4660
29	269	4622
30	277	4586
31	284	4551
32	291	4518
33	299	4486
34	306	4456
35	313	4426
36	320	4398
37	328	4371
38	335	4346
39	343	4322
40	350	4298
41	357	4275
42	365	4253
43	372	4231
44	379	4210
45	387	4190
46	394	4170
47	401	4152
48	409	4134
49	416	4114
50	423	4096
51	431	4078
52	438	4060
53	445	4044
54	453	4027
55	460	4011
56	467	3995
57	474	3979
58	482	3964
59	489	3949
60	496	3934
61	504	3920
62	511	3906
63	519	3892
64	526	3879
65	533	3866
66	541	3851
67	548	3838
68	555	3825
69	563	3813
70	570	3801
71	577	3788
72	585	3775
73	592	3764
74	600	3752
75	607	3740
76	614	3728
77	622	3717
78	629	3705
79	636	3693
80	644	3682
81	651	3670
82	658	3659
83	666	3648
84	673	3637
85	680	3626
86	688	3615
87	695	3604
88	703	3594
89	710	3583
90	717	3573
91	725	3562
92	732	3552
93	739	3542
94	747	3531
95	754	3521
96	761	3511
97	769	3501
98	776	3492
99	784	3482
100	791	3472
101	798	3462
102	806	3452
103	813	3442
104	821	3432
105	828	3423
106	835	3413
107	843	3403
108	850	3394
109	857	3384
110	865	3374
111	872	3365
112	879	3355
113	887	3346
114	894	3336
115	901	3327
116	909	3318
117	916	3309
118	924	3300
119	931	3290
120	938	3281
121	946	3272
122	953	3263
123	960	3254
124	968	3245
125	975	3236
126	983	3227
127	990	3218
128	997	3210
129	1005	3201
130	1012	3192
131	1020	3184
132	1027	3175
133	1034	3166
134	1042	3158
135	1049	3149
136	1057	3140
137	1064	3131
138	1072	3123
139	1079	3114
140	1086	3106
141	1094	3097
142	1101	3089
143	1108	3080
144	1116	3071
145	1123	3062
146	1130	3054
147	1138	3045
148	1145	3037
149	1152	3028
150	1160	3019
151	1167	3011
152	1175	3002
153	1182	2994
154	1189	2985
155	1197	2977
156	1204	2969
157	1212	2961
158	1219	2953
159	1227	2944
160	1234	2936
161	1241	2928
162	1249	2919
163	1256	2911
164	1263	2902
165	1270	2894
166	1278	2885
167	1285	2877
168	1293	2869
169	1300	2861
170	1307	2852
171	1314	2844
172	1322	2835
173	1329	2827
174	1337	2819
175	1344	2811
176	1351	2802
177	1359	2794
178	1366	2786
179	1373	2778
180	1381	2770
181	1388	2762
182	1396	2754
183	1403	2745
184	1410	2737
185	1418	2729
186	1425	2721
187	1433	2713
188	1440	2705
189	1447	2697
190	1455	2689
191	1462	2681
192	1469	2673
193	1477	2665
194	1484	2657
195	1492	2649
196	1499	2641
197	1506	2633
198	1514	2625
199	1521	2617
200	1529	2609
201	1536	2601
202	1543	2593
203	1551	2585
204	1558	2577
205	1565	2569
206	1573	2561
207	1580	2553
208	1588	2545
209	1595	2537
210	1602	2529
211	1610	2521
212	1617	2513
213	1624	2505
214	1632	2497
215	1639	2489
216	1647	2481
217	1654	2473
218	1661	2466
219	1669	2458
220	1676	2450
221	1683	2442
222	1691	2434
223	1698	2426
224	1706	2419
225	1713	2411
226	1721	2403
227	1728	2395
228	1735	2387
229	1743	2379
230	1750	2372
231	1757	2364
232	1765	2356
233	1777	2354
234	1784	2346
235	1792	2338
236	1799	2330
237	1806	2323
238	1814	2315
239	1821	2307
240	1828	2299
241	1836	2291
242	1843	2283
243	1850	2275
244	1858	2267
245	1865	2259
246	1872	2252
247	1880	2244
248	1887	2236
249	1895	2228
250	1902	2220
251	1909	2212
252	1917	2205
253	1924	2197
254	1931	2189
255	1939	2181
256	1946	2173
257	1954	2166
258	1961	2158
259	1968	2150
260	1975	2142
261	1983	2134
262	1990	2126
263	1998	2119
264	2005	2111
265	2012	2103
266	2020	2095
267	2027	2088
268	2034	2080
269	2042	2072
270	2049	2064
271	2057	2057
272	2064	2049
273	2071	2041
274	2079	2033
275	2086	2025
276	2093	2018
277	2101	2010
278	2108	2002
279	2115	1994
280	2123	1987
281	2130	1979
282	2137	1971
283	2145	1963
284	2152	1956
285	2159	1948
286	2167	1940
287	2174	1932
288	2182	1925
289	2189	1917
290	2197	1910
291	2204	1902
292	2211	1894
293	2219	1887
294	2226	1879
295	2234	1871
296	2241	1864
297	2248	1856
298	2256	1848
299	2263	1841
300	2271	1833
301	2278	1825
302	2285	1818
303	2293	1810
304	2300	1802
305	2307	1795
306	2315	1787
307	2322	1779
308	2330	1772
309	2337	1764
310	2345	1757
311	2352	1749
312	2359	1741
313	2367	1734
314	2374	1726
315	2382	1719
316	2390	1711
317	2397	1703
318	2404	1696
319	2412	1688
320	2419	1680
321	2427	1673
322	2434	1665
323	2441	1658
324	2449	1650
325	2456	1642
326	2464	1635
327	2471	1627
328	2478	1619
329	2486	1612
330	2493	1604
331	2500	1596
332	2508	1589
333	2515	1581
334	2522	1574
335	2530	1566
336	2537	1558
337	2544	1551
338	2552	1543
339	2559	1535
340	2566	1528
341	2574	1520
342	2581	1512
343	2589	1505
344	2596	1497
345	2603	1490
346	2611	1482
347	2618	1474
348	2625	1467
349	2633	1459
350	2640	1451
351	2647	1444
352	2655	1436
353	2662	1429
354	2669	1421
355	2677	1413
356	2684	1406
357	2691	1398
358	2699	1391
359	2706	1383
360	2713	1375
361	2720	1367
362	2728	1360
363	2735	1352
364	2743	1345
365	2750	1337
366	2757	1330
367	2765	1322
368	2772	1314
369	2779	1307
370	2786	1299
371	2794	1292
372	2801	1284
373	2809	1276
374	2817	1269
375	2824	1262
376	2832	1254
377	2839	1247
378	2847	1239
379	2854	1232
380	2862	1224
381	2869	1217
382	2877	1209
383	2884	1201
384	2891	1194
385	2899	1186
386	2906	1179
387	2913	1171
388	2921	1163
389	2928	1156
390	2935	1148
391	2943	1141
392	2950	1133
393	2957	1126
394	2965	1118
395	2972	1110
396	2979	1103
397	2987	1095
398	2994	1088
399	3002	1080
400	3009	1073
401	3017	1065
402	3024	1058
403	3031	1050
404	3039	1043
405	3046	1035
406	3053	1027
407	3061	1020
408	3068	1012
409	3076	1005
410	3083	997
411	3090	990
412	3098	982
413	3105	975
414	3112	967
415	3120	960
416	3127	952
417	3134	944
418	3142	937
419	3149	929
420	3156	922
421	3164	914
422	3171	907
423	3179	899
424	3186	892
425	3193	884
426	3201	877
427	3208	869
428	3216	862
429	3223	854
430	3230	847
431	3238	839
432	3245	831
433	3252	824
434	3260	816
435	3267	809
436	3275	801
437	3282	794
438	3289	786
439	3297	779
440	3304	771
441	3311	764
442	3319	756
443	3326	749
444	3333	741
445	3341	734
446	3348	726
447	3355	719
448	3363	711
449	3370	704
450	3378	696
451	3385	689
452	3392	681
453	3400	674
454	3407	666
455	3415	659
456	3422	651
457	3429	644
458	3437	636
459	3444	629
460	3452	621
461	3459	614
462	3466	606
463	3473	598
464	3481	591
465	3488	583
466	3495	576
467	3503	568
468	3510	561
469	3517	553
470	3525	546
471	3532	538
472	3540	531
473	3547	523
474	3554	516
475	3562	508
476	3569	501
477	3576	493
478	3584	486
479	3591	478
480	3598	471
481	3606	463
482	3613	456
483	3621	448
484	3628	441
485	3635	433
486	3643	426
487	3650	418
488	3658	411
489	3665	403
490	3672	396
491	3680	388
492	3687	381
493	3694	373
494	3702	366
495	3709	358
496	3716	351
497	3724	344
498	3731	336
499	3739	329
500	3746	321
501	3753	314
502	3761	306
503	3768	299
504	3775	291
505	3783	284
506	3790	276
507	3797	269
508	3805	261
509	3812	254
510	3819	246
511	3827	239
512	3834	231
513	3842	224
514	3849	216
515	3856	209
516	3864	201
517	3871	194
518	3878	186
519	3886	179
520	3893	171
521	3900	164
522	3908	156
523	3915	149
524	3922	141
525	3930	134
526	3937	127
527	3945	119
528	3952	112
529	3960	104
530	3967	97
531	3974	89
532	3982	82
533	3989	74
534	3996	67
535	4004	59
536	4011	52
537	4018	44
538	4026	37
539	4033	29
540	4040	22
541	4048	14
542	4055	7
543	4063	0
