iter	Passed	Remaining
0	66	36316
1	83	22635
2	99	18017
3	115	15549
4	127	13702
5	138	12461
6	150	11576
7	162	10902
8	174	10373
9	186	9945
10	198	9597
11	210	9311
12	222	9069
13	234	8861
14	246	8681
15	258	8519
16	270	8375
17	282	8245
18	294	8126
19	305	8010
20	317	7913
21	329	7822
22	341	7739
23	353	7661
24	365	7591
25	377	7524
26	389	7461
27	401	7402
28	413	7346
29	425	7293
30	437	7246
31	449	7196
32	461	7148
33	473	7101
34	485	7056
35	496	7012
36	508	6971
37	520	6931
38	532	6895
39	544	6859
40	556	6824
41	568	6790
42	579	6757
43	591	6724
44	603	6692
45	615	6661
46	627	6632
47	639	6605
48	651	6578
49	663	6550
50	674	6523
51	686	6496
52	698	6469
53	710	6444
54	722	6419
55	733	6395
56	745	6371
57	757	6348
58	769	6324
59	781	6301
60	793	6279
61	805	6259
62	817	6239
63	829	6219
64	841	6199
65	853	6179
66	864	6156
67	876	6136
68	888	6116
69	900	6098
70	912	6079
71	924	6062
72	936	6041
73	948	6022
74	961	6013
75	973	5995
76	985	5977
77	997	5959
78	1009	5941
79	1021	5923
80	1033	5906
81	1045	5888
82	1057	5871
83	1069	5855
84	1081	5837
85	1093	5821
86	1105	5804
87	1116	5787
88	1128	5771
89	1140	5754
90	1152	5737
91	1164	5721
92	1176	5705
93	1188	5689
94	1200	5673
95	1212	5657
96	1224	5641
97	1236	5626
98	1248	5610
99	1260	5594
100	1271	5578
101	1283	5563
102	1295	5548
103	1307	5532
104	1320	5519
105	1334	5513
106	1347	5503
107	1359	5487
108	1371	5472
109	1383	5457
110	1395	5442
111	1407	5427
112	1419	5412
113	1431	5397
114	1443	5383
115	1454	5367
116	1466	5353
117	1478	5338
118	1490	5323
119	1502	5309
120	1514	5294
121	1526	5279
122	1539	5268
123	1552	5256
124	1564	5243
125	1576	5229
126	1588	5215
127	1600	5200
128	1612	5186
129	1624	5172
130	1636	5157
131	1647	5143
132	1659	5129
133	1671	5114
134	1683	5100
135	1695	5085
136	1706	5071
137	1718	5056
138	1730	5042
139	1742	5028
140	1754	5014
141	1766	5000
142	1778	4986
143	1789	4972
144	1801	4957
145	1813	4943
146	1825	4929
147	1837	4915
148	1849	4901
149	1860	4887
150	1872	4874
151	1884	4860
152	1896	4846
153	1908	4832
154	1920	4819
155	1932	4805
156	1944	4792
157	1956	4778
158	1967	4764
159	1979	4751
160	1991	4737
161	2003	4724
162	2015	4710
163	2027	4697
164	2038	4683
165	2050	4669
166	2062	4655
167	2074	4642
168	2086	4629
169	2098	4615
170	2109	4602
171	2121	4588
172	2133	4574
173	2145	4561
174	2157	4548
175	2168	4534
176	2180	4521
177	2192	4508
178	2204	4494
179	2216	4481
180	2228	4468
181	2239	4455
182	2251	4442
183	2263	4428
184	2275	4415
185	2287	4402
186	2299	4389
187	2310	4375
188	2322	4362
189	2334	4349
190	2346	4336
191	2358	4323
192	2370	4310
193	2381	4297
194	2393	4284
195	2405	4271
196	2417	4258
197	2429	4245
198	2441	4232
199	2453	4219
200	2464	4206
201	2476	4193
202	2488	4180
203	2500	4167
204	2512	4154
205	2523	4141
206	2535	4128
207	2547	4115
208	2559	4102
209	2571	4089
210	2583	4076
211	2595	4064
212	2607	4051
213	2619	4038
214	2631	4026
215	2642	4013
216	2654	4000
217	2666	3987
218	2678	3974
219	2690	3962
220	2702	3949
221	2714	3936
222	2725	3923
223	2737	3911
224	2749	3898
225	2761	3885
226	2773	3873
227	2785	3860
228	2797	3847
229	2809	3835
230	2820	3822
231	2832	3809
232	2844	3797
233	2862	3792
234	2874	3779
